site,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15
182,,,,,,,,,,,,,,1,
183,,,,,,,,,0,,,,,,
184,,1,,,,,,,,,,,,,
185,,,,,,,,,,,1,,,,
186,,,,0,,,,,,,,,,,
187,1,,,1,1,,,,0,,,,,,
188,,1,,,,,,,,,,,1,,
189,,,,,,,,,,,,,,1,
190,,1,,,,,,,,,,,,,
191,,,,,,,,0,,,,,,,
192,,,,,,,,,,,1,,,,
193,,,,,,,,,0,,,,,,
194,,,,,,,,,,,1,,,,
195,1,,,,,,,,,,,,,,
196,,1,,,,,,,,,,,,,
197,,0,,,,,,,,,,,,,
198,,1,,,,,,,,,,,,,
199,,,,,,1,,,1,,,,,,
200,,,,,,,,,,,0,,,,
201,,,,,,,,,0,,,,,,
202,,,,,1,,,,0,,,,,,
203,,,0,,,,,,,,,,,,
204,,,,,,,,,,,,,,0,
205,,,,,,,,,,0,,,,,
206,1,,,1,1,,,,0,,,,,,
207,,,,,,,,,,,,,,1,
208,,,,,,1,,,,,,,,,
209,,,,,,,,,,,,1,,,
210,,,,,0,,,,,,,,,,
211,,,,,,,,0,,,,,,,
212,,,,,,,0,,0,,,,,,
214,1,,,,,,,,,,,,,,
215,,,1,,,,,,,,,,,,
216,,,,0,,,,,,,,,,,
217,,,,0,,,,,,,,,,,
218,,,,,,,,,,,0,,,,
219,,,1,,,,,,,,,,,,
220,,,,,,0,,,,,,,,,
221,,,1,,,,,0,,,,,,,
223,,,,,,,,,,,1,,,,
224,,0,,,,,,,,,,1,,,
225,,,,,,,1,,,,,,,,
227,,,,,1,,,,,,,,,,
228,,,,,,,,,,,,,,0,
229,1,,,,,,,,,,,,,,
230,,,,,,,0,,,,,,,,
231,,,,,,,,,,0,,,,,
232,,,,,,,,,,,0,,,,
233,,,,,,,,,0,,,,,,
234,,,,,,,,,,,,,0,,
235,,,,0,,,,,,,,,,,
236,,,,0,,,,,,,,,,,
237,,,,,,1,,,1,,,,,,1
238,1,,,,,,,,,,,,,,
239,,,,,,1,,,,,,,,,
240,,,,,,,,,0,,,,,,
241,,,,,,,,1,,,,,,,
242,,,0,,,,,,,,,,,,
243,,,,,,,,,,,,,1,,
244,,,,,,,,,,,,,0,,
245,0,,,,,,,,,,,,,,
246,,,,,,,,,,1,,,,,
