SampleID,SiteID,Date,Year,State,StreamName,LatutudeWQ,LongitudeWQ,HabitatType,habitat,WaterTemp_C,DOPercent,DO_mgL,Turbidity_NTU,Conductivity_Scm,pH,Topeka_Shiner
19MNRKRKRT17,RO1,2019,2019,MN,Rock_River_Tributary,43.657,-96.202,Oxbow,oxbow,25.9,285.9,,8.2,557,,0
19MNRKLRKR01,LJ2,2019,2019,MN,Little_Rock_River,43.581,-95.756,Oxbow,oxbow,24,314.5,,6.8,559,,0
15MNRKKNZ01,MA1,6/3/2015,2015,MN,Kanaranzi_Creek,43.645,-95.96,Oxbow,oxbow,21.14,84.1,7.28,.,560.6,6.67,28
18MNRKMND06,BM1,2018,2018,MN,Mound_Creek,43.714,-96.174,Oxbow,oxbow,27,111.7,,87.2,570,,21
17MNRKRKR21,EH1,6/1/2017,2017,MN,Rock_River,43.7,-96.152,Oxbow,oxbow,24.42,158.3,11.09,50.2,570.5,8.96,18
18MNRKRKRT44,HU2,2018,2018,MN,Rock_River_Tributary,43.765,-96.087,Oxbow,oxbow,25.3,111.8,,105.6,576,,0
18MNRKCPPD45,SC1,2018,2018,MN,Champepedan_Creek,43.719,-96.077,Oxbow,oxbow,22.9,89.7,,115,584,,21
17MNBSWLW48,MO4,5/23/2017,2017,MN,Willow_Creek_Tributary,44.13,-96.441,Oxbow,oxbow,10.91,97.4,9,31.2,584.5,8.31,0
17MNRKRKR63,FE1,5/24/2017,2017,MN,Rock_River,43.897,-96.159,Oxbow,oxbow,14.89,138.1,11.65,23.6,590.8,8.5,21
16MNRKKNZ66,MA1,6/15/2016,2016,MN,Kanaranzi_Creek,43.645,-95.96,Oxbow,oxbow,19.89,43.1,3.26,76,594.7,7.33,22
18MNRKCPPD46,KR2,2018,2018,MN,Champepedan_Creek,43.763,-96.05,Oxbow,oxbow,22.9,111.9,,110,601,,9
17MNRKRKR61,FE3,5/24/2017,2017,MN,Rock_River,43.894,-96.162,Oxbow,oxbow,14.3,123.3,10.54,19.4,605.3,8.42,21
16MNBSBVRT05,TS8,5/16/2016,2016,MN,Beaver_Creek_Tributary,43.73,-96.293,Oxbow,oxbow,19.56,96.8,7.4,22,609.5,8.1,39
15MNRKPLR58,PC1,8/4/2015,2015,MN,Poplar_Creek,43.865,-96.205,Oxbow,oxbow,21,25.6,2.51,407,612.6,6.35,0
19MNBSLBVR14,VD2,2019,2019,MN,Little_Beaver_Creek,43.705,-96.267,Oxbow,oxbow,25.9,185.5,,61.2,617,,11
17MNBSWLW45,MO6,5/23/2017,2017,MN,Willow_Creek_Tributary,44.126,-96.439,Oxbow,oxbow,9.74,89,8.53,39.2,619.4,8.33,0
15MNBSSTRK52,VA1,8/3/2015,2015,MN,Split_Rock_Creek,43.769,-96.443,Oxbow,oxbow,27.38,87.3,6.68,66,621.9,6.74,0
17MNBSFDUT57,ST1,5/23/2017,2017,MN,Flandreau_Creek_Tributary,44.153,-96.282,Oxbow,oxbow,11.55,131.2,11.94,18.6,622.7,8.73,3
17MNBSWLW50,MO2,5/23/2017,2017,MN,Willow_Creek_Tributary,44.13,-96.445,Oxbow,oxbow,10.35,94.4,8.85,63.7,629.5,8.43,0
17MNBSBVR08,TS5,6/1/2017,2017,MN,Beaver_Creek,43.732,-96.27,Oxbow,oxbow,19,178.5,13.74,32.6,631.7,8.8,20
17MNBSWLW47,MO5,5/23/2017,2017,MN,Willow_Creek_Tributary,44.129,-96.439,Oxbow,oxbow,9.81,98.5,9.34,32,632,8.41,0
16MNRKPRLT100,PCT2,6/29/2016,2016,MN,Poplar_Creek_Tributary,43.867,-96.204,Oxbow,oxbow,27.01,136.6,9.08,4.5,640.6,8.05,0
16MNRKPLRT98,PCT1,6/29/2016,2016,MN,Poplar_Creek_Tributary,43.87,-96.205,Oxbow,oxbow,26.37,158.9,10.65,14.3,640.7,8.11,12
17MNRKCPPD40,SC2,6/1/2017,2017,MN,Champepedan_Creek,43.719,-96.077,Oxbow,oxbow,22.83,154.2,11.29,50.9,641.6,8.77,15
17MNBSWLW49,MO3,5/23/2017,2017,MN,Willow_Creek_Tributary,44.13,-96.445,Oxbow,oxbow,10.62,102.3,9.51,28.2,641.9,8.51,0
16MNBSFDUT41,ST1,5/19/2016,2016,MN,Flandreau_Creek_Tributary,44.153,-96.281,Oxbow,oxbow,17.1,114.5,9.21,90,643.1,8.3,0
16MNRKRKR82,AR1,6/27/2016,2016,MN,Rock_River,43.707,-96.158,Oxbow,oxbow,25.79,157.7,10.71,50.8,649.2,8.18,18
18MNRKLRKR22,LJ4,2018,2018,MN,Little_Rock_River,43.58,-95.758,Oxbow,oxbow,20.6,105.4,,108,657,,21
15MNRKRKR13,AR23A,6/9/2015,2015,MN,Rock_River,43.705,-96.157,Oxbow,oxbow,24,93,7.53,141.3,659.5,6.82,0
17MNBSWLW52,MO1,5/23/2017,2017,MN,Willow_Creek_Tributary,44.132,-96.447,Oxbow,oxbow,10.58,96.1,8.97,36.6,660.4,8.36,0
16MNRKRKRT34,HU3,5/18/2016,2016,MN,Rock_River_Tributary,43.764,-96.091,Oxbow,oxbow,13.8,205.8,17.76,7,669.4,7.87,0
18MNRKKNZ55,MA1,2018,2018,MN,Kanaranzi_Creek,43.644,-95.96,Oxbow,oxbow,21.3,60.1,,90.2,670,,7
18MNRKRKR01,MY1,2018,2018,MN,Rock_River,43.651,-96.194,Oxbow,oxbow,27.4,133.3,,56.7,675,,1
18MNRKRKR62,SHURRB,2018,2018,MN,Rock_River,43.502,-96.116,Oxbow,oxbow,25.1,149.1,,96.8,677,,2
17MNBSWLW53,GE2,5/23/2017,2017,MN,Willow_Creek,44.15,-96.414,Oxbow,oxbow,11.51,105.3,9.61,14.8,681,8.58,5
17MNRKPLRT64,PCT2,5/24/2017,2017,MN,Poplar_Creek_Tributary,43.867,-96.204,Oxbow,oxbow,17.12,187.8,11.87,22.3,681.2,8.67,21
17MNRKCPPD17,KR2,6/1/2017,2017,MN,Champepedan_Creek,43.763,-96.05,Oxbow,oxbow,24.28,38.6,2.68,86.3,681.7,8.41,0
19MNRKLRKR11,JO1,2019,2019,MN,Little_Rock_River,43.587,-95.755,Oxbow,oxbow,22.9,213.7,,11.1,682,,1
16MNRKMND02,BM1,5/16/2016,2016,MN,Mound_Creek,43.713,-96.174,Oxbow,oxbow,19.15,109.6,8.47,45,682.4,8.27,41
18MNBSFDU101,BT3,2018,2018,MN,Flandreau_Creek,44.085,-96.439,Oxbow,oxbow,22,86.5,,117.2,687,,0
17MNBSBVRT06,TS6,6/1/2017,2017,MN,Beaver_Creek_Tributary,43.732,-96.289,Oxbow,oxbow,18.57,228.6,18.73,11.3,691.7,8.76,5
16MNRKCPPD106,OL1,7/27/2016,2016,MN,Champepedan_Creek,43.728,-96.057,Oxbow,oxbow,28.41,136.6,8.84,8.3,694.4,8.24,11
17MNRKELK29,RM4,6/1/2017,2017,MN,Elk_Creek,43.672,-96.071,Oxbow,oxbow,28.16,268.9,17.47,38.2,696,8.92,21
17MNRKRKR62,FE2,5/24/2017,2017,MN,Rock_River,43.896,-96.164,Oxbow,oxbow,14,91,7.85,54.2,696.8,8.46,8
17MNRKRKRT34,HU2,6/1/2017,2017,MN,Rock_River_Tributary,43.765,-96.086,Oxbow,oxbow,23.63,127.4,9,19.5,700.2,8.53,0
19MNRKLRKR02,LJ1,2019,2019,MN,Little_Rock_River,43.582,-95.754,Oxbow,oxbow,23.1,240.7,,11.2,703,,0
17MNRKKNZ44,LU1,5/22/2017,2017,MN,Kanaranzi_Creek,43.623,-95.994,Oxbow,oxbow,13.06,137.5,12.09,4.1,707.8,8.09,21
