
	ALL WATERSHED COMBINED

Y[i] ~ dbern(p[i])
    logit(p[i]) <- alpha[Watshed[i]] + 
      beta[1]* Agr[i] +
      beta[2] * Elv[i] +
      beta[3] * Area[i] +
      beta[4] * Slop[i] +
      beta[5] * s[i]
    
    # connectivity summed over j
    # subtract c[i,Segment_id[i]] from the sum; self-connection removal
    s[i] <- sum(c[i,]) - c[i, Segment_id[i]]
    
    # connectivity measure for a specific pair of i and j
    for(j in 1:N_site) {
      c[i,j] <- exp(u[i,j] + d[i,j])
      
      u[i,j] <- -alpha[1] * U[Segment_id[i], j]
      d[i,j] <- -alpha[2] * D[Segment_id[i], j]


                mean          sd          2.5%           50%      97.5% Rhat n.eff
s[49]     8.40860873  9.23500812  3.374866e+00  6.4557850000 23.7989600 1.09  1309
s[50]     6.94765542  7.05459406  3.282790e+00  5.4636500000 18.5978475 1.12  1331
s[51]     6.92509470  7.64414471  2.255608e+00  5.3711850000 19.9217050 1.10  1344
s[52]    11.67192544 10.98740883  6.107443e+00  9.8226850000 26.2301050 1.14  1297
s[53]    11.67163379 10.98657982  6.107563e+00  9.8224850000 26.2263750 1.14  1297
s[54]     8.84601589 11.77395575  2.717948e+00  6.5534700000 25.9103200 1.13  1308
s[55]     3.28172809 15.25395993  8.520562e-01  1.9367950000  9.9349375 1.24  1231
s[56]     3.78081591 15.63892128  1.425835e+00  2.5140050000  9.7615515 1.25  1224
s[57]     2.95723422 15.09811323  3.203217e-01  1.4594000000 10.7683350 1.23  1227
s[58]     3.53683966 15.44353722  9.901521e-01  2.2322350000 10.0321405 1.24  1229
s[59]     8.31003087  9.36264436  3.249898e+00  6.3908000000 23.3649425 1.10  1302
s[60]     5.24932529 13.43546485  7.258463e-01  2.9437500000 21.0420750 1.15  1257
s[61]     2.26010036  1.15743774  1.001338e+00  2.0138400000  5.0963197 1.02  1537
s[62]     3.15902759  1.34452096  1.485594e+00  2.9078300000  6.0917042 1.01  1427
s[63]     3.88090616  2.08589052  2.058242e+00  3.3391900000  8.8296140 1.00  1316
s[64]     3.26118079  2.28490048  1.119118e+00  2.6696250000  8.6385755 1.00  1324
s[65]     1.91417879  2.09244746  1.238818e+00  1.7884250000  2.7916950 1.26  1393
s[66]     2.72245740  3.02888665  9.542109e-01  2.2218050000  6.9559625 1.18  1422
s[67]     4.48296803  3.35019478  2.592490e+00  3.8271100000  9.5936597 1.16  1380
s[68]     4.04723371  4.12247440  2.010776e+00  3.2619350000 10.4968800 1.14  1316
s[69]     3.83696841  5.01621215  1.470228e+00  2.9134100000 11.0585125 1.15  1328
s[70]     4.70067420  6.95309072  1.006921e+00  3.1819250000 16.5880475 1.11  1336
s[71]     5.14670349  5.33726144  2.309689e+00  4.1650250000 12.9528225 1.14  1329
s[72]     6.97556695  5.97484590  3.939269e+00  5.8525100000 15.9342050 1.13  1326
s[73]     9.68849085  7.66305289  5.410951e+00  8.1052600000 22.0253650 1.11  1328
s[74]     9.68849085  7.66305289  5.410951e+00  8.1052600000 22.0253650 1.11  1328
s[75]     8.55693601  9.19165533  3.571400e+00  6.5899250000 23.8231850 1.09  1309
s[76]     4.08551693 13.65016019  8.671007e-01  2.3260050000 15.2706425 1.19  1237
s[77]     5.18605357  9.51117862  1.779651e+00  3.4900300000 17.6738450 1.13  1274
s[78]     6.13462168 13.33904281  2.368473e+00  4.1006550000 19.7451975 1.17  1247
s[79]     4.87931757 13.51411447  1.146894e+00  2.9473950000 17.5986400 1.18  1241
s[80]     4.62131042 14.79322634  2.137875e+00  3.0881350000 12.5768375 1.23  1228
s[81]     4.31709724  1.60529987  3.159799e+00  3.8701000000  8.2279505 1.01  1376
s[82]     2.80967550  2.05334240  2.003216e+00  2.2836100000  6.8237100 1.01  1260
s[83]     4.38867934  3.32836902  2.505709e+00  3.7420550000  9.4890905 1.16  1384
s[84]     4.38867934  3.32836902  2.505709e+00  3.7420550000  9.4890905 1.16  1384
s[85]     0.37081500  2.34924304  1.536905e-03  0.0728998500  2.0496990 1.25  1307
s[86]     0.37081500  2.34924304  1.536905e-03  0.0728998500  2.0496990 1.25  1307
s[87]     2.31805098  2.08001432  1.894550e+00  2.1986300000  2.9727445 1.27  1329
s[88]     2.31805098  2.08001432  1.894550e+00  2.1986300000  2.9727445 1.27  1329
s[89]     6.00062154  5.98491862  2.721329e+00  4.8981850000 15.3530450 1.13  1338
s[90]     6.00062154  5.98491862  2.721329e+00  4.8981850000 15.3530450 1.13  1338
s[91]     6.92870489  6.91896980  3.548702e+00  5.4944750000 18.2251300 1.12  1330
s[92]     6.92870489  6.91896980  3.548702e+00  5.4944750000 18.2251300 1.12  1330
s[93]     7.60181707  7.34850591  3.687864e+00  6.0354600000 19.9588725 1.11  1334
s[94]     7.60181707  7.34850591  3.687864e+00  6.0354600000 19.9588725 1.11  1334
