,15,45,65,85,263,22,84,104,105,203,23,165,16,24,66,67,68,83,144,166,184,204,229,265,266,29,46,49,73,74,86,107,108,109,126,145,146,150,167,168,185,191,207,208,209,210,226,244,248,264,286
X144,15.92449887,24.35747071,16.11249887,15.92449887,15.22339427,4.158790864,10.40777953,6.345033811,6.345033811,7.3146913,1.862295575,0.999850963,0,3.311041188,2.595983132,0,0,0,0,0,0,1.678386292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X166,18.70493377,27.13790561,18.89293377,18.70493377,18.00382917,6.939225766,13.18821443,9.125468713,9.125468713,10.0951262,4.642730477,3.780285865,2.538722876,6.09147609,5.376418034,2.538722876,0,2.696794167,2.780434902,0,0,4.458821193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X184,22.48976691,30.92273875,22.67776691,22.48976691,21.7886623,10.7240589,16.97304757,12.91030185,12.91030185,13.87995934,8.427563612,7.565119,6.323556011,9.876309225,9.161251169,6.323556011,0,6.481627302,6.565268037,3.784833135,0,8.243654328,0,2.27343966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X204,14.24611258,22.67908442,14.43411258,14.24611258,13.54500798,2.480404572,8.72939324,4.66664752,4.66664752,5.636305009,0.183909283,0,0,1.632654896,0.91759684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X229,23.9304765,32.36344834,24.1184765,23.9304765,23.2293719,12.16476849,18.41375716,14.35101144,14.35101144,15.32066893,9.868273205,9.005828593,7.764265604,11.31701882,10.60196076,7.764265604,0,7.922336895,8.00597763,5.225542729,1.440709594,9.684363922,0,3.714149254,0.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X265,20.21632725,28.64929909,20.40432725,20.21632725,19.51522264,8.450619241,14.69960791,10.63686219,10.63686219,11.60651968,6.154123951,5.291679339,4.05011635,7.602869564,6.887811508,4.05011635,0,4.208187642,4.291828377,1.511393475,0,5.970214668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X266,23.2454765,31.67844834,23.4334765,23.2454765,22.5443719,11.47976849,17.72875716,13.66601144,13.66601144,14.63566893,9.183273205,8.320828593,7.079265604,10.63201882,9.916960762,7.079265604,0,7.237336895,7.32097763,4.540542729,0.755709594,8.999363922,0,3.029149254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X29,51.24823206,59.6812039,51.43623206,51.24823206,50.54712746,39.48252405,45.73151272,41.668767,41.668767,42.63842449,37.18602877,36.32358415,35.08202116,38.63477438,37.91971632,35.08202116,27.17875556,35.24009246,35.32373319,32.54329829,28.75846515,37.00211948,27.31775556,31.03190481,28.00275556,0,24.03069416,0,0,0,8.898102368,8.638497378,6.691598248,0,0,19.94740181,5.762157388,0,16.2430367,6.691598248,16.54453631,0,12.32674817,0,1.558152245,7.977564232,0,25.35927755,0,26.99211708,6.856480453
X46,27.2175379,35.65050974,27.4055379,27.2175379,26.5164333,15.45182989,21.70081856,17.63807284,17.63807284,18.60773033,13.15533461,12.29288999,11.051327,14.60408022,13.88902216,11.051327,3.1480614,11.2093983,11.29303903,8.512604129,4.727770994,12.97142532,3.2870614,7.001210654,3.9720614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.328583395,0,2.961422919,0
X49,57.70277388,66.13574572,57.89077388,57.70277388,57.00166927,45.93706587,52.18605454,48.12330882,48.12330882,49.09296631,43.64057058,42.77812597,41.53656298,45.08931619,44.37425814,41.53656298,33.63329738,41.69463427,41.77827501,38.9978401,35.21300697,43.4566613,33.77229738,37.48644663,34.45729738,6.454541815,30.48523598,0,6.289541815,6.289541815,15.35264418,15.09303919,13.14614006,6.062541815,1.913489868,26.40194362,12.2166992,0,22.69757851,13.14614006,22.99907813,6.062541815,18.78128999,4.941066206,8.01269406,14.43210605,5.865983374,31.81381937,0.336281181,33.44665889,13.31102227
