"","13","61","62","201","243","14","21","42","43","44","63","64","81","82","103","121","122","127","142","143","162","163","164","182","202","212","231","240","261","262","288"
"13",0,4.0510977089524,2.6878486760967,3.6605204034716,2.3222902348699,0,0,0,0,3.25806609400023,0,0,0,0,0,0,8.92112998369895,0,0,3.25806609400023,0.311924957971492,0,0,0,4.70692190347961,0,0,0,0,1.61808769511205,0
"61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87003227474654,0,0,0,0,0,0,0,0.655824194527209,0,0,0,0,0,0
"62",0,1.3632490328557,0,0.972671727374905,0,0,0,0,0,0.570217417903532,0,0,0,0,0,0,6.23328130760225,0,0,0.570217417903532,0,0,0,0,2.01907322738291,0,0,0,0,0,0
"201",0,0.390577305480798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26060958022734,0,0,0,0,0,0,0,1.04640150000801,0,0,0,0,0,0
"243",0,1.72880747408251,0.365558441226804,1.33823016860171,0,0,0,0,0,0.935775859130335,0,0,0,0,0,0,6.59883974882905,0,0,0.935775859130335,0,0,0,0,2.38463166860972,0,0,0,0,0,0
"14",9.59321038436649,13.6443080933189,12.2810590604632,13.2537307878381,11.9155006192364,0,4.75003802141085,0.982651925289503,0,12.8512764783667,2.62728896813018,2.10190514330998,4.48786086513385,0,2.71049255801653,0.197156495662637,18.5143403680654,4.57503802141081,0,12.8512764783667,9.90513534233799,0.322656110454112,0,8.33307440662799,14.3001322878461,2.81953508610535,0,4.37753840661925,0,11.2112980794785,4.57503802141081
"21",4.84317236295565,8.89427007190805,7.53102103905235,8.50369276642725,7.16546259782554,0,0,0,0,8.10123845695588,0,0,0,0,0,0,13.7643023466546,0,0,8.10123845695588,5.15509732092714,0,0,3.58303638521714,9.55009426643526,0,0,0,0,6.4612600580677,0
"42",8.61055845907699,12.6616561680294,11.2984071351737,12.2710788625486,10.9328486939469,0,3.76738609612134,0,0,11.8686245530772,1.64463704284068,1.11925321802048,3.50520893984435,0,1.72784063272702,0,17.5316884427759,3.59238609612131,0,11.8686245530772,8.92248341704848,0,0,7.35042248133848,13.3174803625566,1.83688316081585,0,3.39488648132975,0,10.228646154189,3.59238609612131
"43",17.6187540250721,21.6698517340245,20.3066027011688,21.2792744285437,19.941044259942,8.02554364070558,12.7755816621164,9.00819556599509,0,20.8768201190723,10.6528326088358,10.1274487840156,12.5134045058394,3.4740288162233,10.7360361987221,8.22270013636822,26.539884008771,12.6005816621164,4.93271954620939,20.8768201190723,17.9306789830436,8.3481997511597,0,16.3586180473336,22.3256759285517,10.8450787268109,3.4740288162233,12.4030820473248,3.44602881622324,19.2368417201841,12.6005816621164
"44",0,0.793031614952171,0,0.402454309471374,0,0,0,0,0,0,0,0,0,0,0,0,5.66306388969871,0,0,0,0,0,0,0,1.44885580947938,0,0,0,0,0,0
"63",6.96592141623631,11.0170191251887,9.65377009233301,10.6264418197079,9.28821165110621,0,2.12274905328066,0,0,10.2239875102365,0,0,1.86057189700367,0,0.0832035898863433,0,15.8870513999353,1.94774905328063,0,10.2239875102365,7.2778463742078,0,0,5.7057854384978,11.6728433197159,0.19224611797517,0,1.75024943848907,0,8.58400911134836,1.94774905328063
"64",7.49130524105651,11.5424029500089,10.1791539171532,11.1518256445281,9.81359547592641,0,2.64813287810086,0,0,10.7493713350567,0.525383824820201,0,2.38595572182387,0,0.608587414706544,0,16.4124352247555,2.47313287810083,0,10.7493713350567,7.803230199028,0,0,6.231169263318,12.1982271445361,0.717629942795371,0,2.27563326330927,0,9.10939293616856,2.47313287810083
"81",5.10534951923264,9.15644722818505,7.79319819532934,8.76586992270425,7.42763975410254,0,0.262177156276997,0,0,8.36341561323288,0,0,0,0,0,0,14.0264795029316,0.0871771562769609,0,8.36341561323288,5.41727447720414,0,0,3.84521354149414,9.81227142271226,0,0,0,0,6.72343721434469,0.0871771562769609
"82",14.1447252088488,18.1958229178012,16.8325738849455,17.8052456123204,16.4670154437187,4.55151482448229,9.30155284589313,5.53416674977179,0,17.402791302849,7.17880379261247,6.65341996779227,9.03937568961614,0,7.26200738249881,4.74867132014492,23.0658551925477,9.1265528458931,1.45869072998609,17.402791302849,14.4566501668203,4.8741709349364,0,12.8845892311103,18.8516471123284,7.37104991058764,0,8.92905323110154,0,15.7628129039608,9.1265528458931
"103",6.88271782634997,10.9338155353024,9.57056650244667,10.5432382298216,9.20500806121986,0,2.03954546339432,0,0,10.1407839203502,0,0,1.77736830711732,0,0,0,15.8038478100489,1.86454546339428,0,10.1407839203502,7.19464278432146,0,0,5.62258184861146,11.5896397298296,0.109042528088827,0,1.66704584860273,0,8.50080552146201,1.86454546339428
"121",9.39605388870386,13.4471515976563,12.0839025648006,13.0565742921755,11.7183441235738,0,4.55288152574821,0.785495429626866,0,12.6541199827041,2.43013247246755,1.90474864764735,4.29070436947121,0,2.51333606235389,0,18.3171838724028,4.37788152574817,0,12.6541199827041,9.70797884667535,0.125499614791475,0,8.13591791096535,14.1029757921835,2.62237859044272,0,4.18038191095662,0,11.0141415838159,4.37788152574817
"122",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"127",5.01817236295568,9.06927007190809,7.70602103905238,8.67869276642729,7.34046259782558,0,0.175000000000036,0,0,8.27623845695591,0,0,0,0,0,0,13.9393023466546,0,0,8.27623845695591,5.33009732092718,0,0,3.75803638521718,9.7250942664353,0,0,0,0,6.63626005806773,0
