"","20","60","99","99","100","119","119","120","120","160","180","200","220","235","260","287","292","300","279"
"X20",0,19.3662991132068,13.1914742598844,13.1914742598844,15.3652695940775,11.4374750303012,11.4374750303012,15.380269594078,15.3792695940775,9.59383039863723,17.4807667056638,13.2694894238021,16.2239859095034,6.10001261553042,6.66975096945533,17.4807667056638,13.7916297601221,7.50378275796604,20.9857362080185
"X60",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61943709481171
"X99",0,6.1748248533224,0,0,2.17379533419309,0,0,2.18879533419352,2.1877953341931,0,4.28929244577939,0.0780151639176511,3.03251164961893,0,0,4.28929244577939,0.60015550023765,0,7.79426194813411
"X99.1",0,6.1748248533224,0,0,2.17379533419309,0,0,2.18879533419352,2.1877953341931,0,4.28929244577939,0.0780151639176511,3.03251164961893,0,0,4.28929244577939,0.60015550023765,0,7.79426194813411
"X100",0,4.00102951912931,0,0,0,0,0,0.0150000000004247,0.0140000000000082,0,2.1154971115863,0,0.858716315425838,0,0,2.1154971115863,0,0,5.62046661394102
"X119",0,7.92882408290564,1.75399922958324,1.75399922958324,3.92779456377633,0,0,3.94279456377676,3.94179456377634,0,6.04329167536263,1.83201439350089,4.78651087920217,0,0,6.04329167536263,2.35415472982089,0,9.54826117771735
"X119.1",0,7.92882408290564,1.75399922958324,1.75399922958324,3.92779456377633,0,0,3.94279456377676,3.94179456377634,0,6.04329167536263,1.83201439350089,4.78651087920217,0,0,6.04329167536263,2.35415472982089,0,9.54826117771735
"X120",0,3.98602951912888,0,0,0,0,0,0,0,0,2.10049711158587,0,0.843716315425413,0,0,2.10049711158587,0,0,5.6054666139406
"X120.1",0,3.9870295191293,0,0,0,0,0,0.00100000000041655,0,0,2.10149711158629,0,0.84471631542583,0,0,2.10149711158629,0,0,5.60646661394101
"X160",0,9.77246871456961,3.5976438612472,3.5976438612472,5.7714391954403,1.84364463166397,1.84364463166397,5.78643919544072,5.78543919544031,0,7.88693630702659,3.67565902516486,6.63015551086614,0,0,7.88693630702659,4.19779936148485,0,11.3919058093813
"X180",0,1.88553240754301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50496950235472
"X200",0,6.09680968940475,0,0,2.09578017027544,0,0,2.11078017027587,2.10978017027545,0,4.21127728186174,0,2.95449648570128,0,0,4.21127728186174,0.522140336319999,0,7.71624678421646
"X220",0,3.14231320370347,0,0,0,0,0,0,0,0,1.25678079616046,0,0,0,0,1.25678079616046,0,0,4.76175029851518
"X235",0,13.2662864976764,7.09146164435401,7.09146164435401,9.26525697854711,5.33746241477077,5.33746241477077,9.28025697854753,9.27925697854711,3.49381778310681,11.3807540901334,7.16947680827166,10.1239732939729,0,0.569738353924904,11.3807540901334,7.69161714459166,1.40377014243562,14.8857235924881
"X260",0,12.6965481437515,6.52172329042911,6.52172329042911,8.6955186246222,4.76772406084587,4.76772406084587,8.71051862462263,8.70951862462221,2.9240794291819,10.8110157362085,6.59973845434676,9.55423494004804,0,0,10.8110157362085,7.12187879066676,0.834031788510712,14.3159852385632
"X287",0,1.88553240754301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.50496950235472
"X292",0,5.57466935308475,0,0,1.57363983395544,0,0,1.58863983395587,1.58763983395545,0,3.68913694554174,0,2.43235614938128,0,0,3.68913694554174,0,0,7.19410644789646
"X300",0,11.8625163552408,5.6876915019184,5.6876915019184,7.86148683611149,3.93369227233516,3.93369227233516,7.87648683611191,7.8754868361115,2.09004764067119,9.97698394769779,5.76570666583605,8.72020315153733,0,0,9.97698394769779,6.28784700215605,0,13.4819534500525
"X279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
