"","11","12","41","101","101","102","141","161","181","241","242","283"
"X11",0,0,0,0,0,0,0,0,0.818804559201397,0,0,0
"X12",9.54050008956581,0,4.36883855867422,0,0,0.428448627726921,0,0,10.3593046487672,6.5624079422436,5.58961197599246,0
"X41",5.17166153089159,0,0,0,0,0,0,0,5.99046609009299,2.19356938356938,1.22077341731824,0
"X101",13.0493218368739,3.50882174730811,7.87766030598233,0,0,3.93727037503503,2.47258262419177,1.90524534755895,13.8681263960753,10.0712296895517,9.09843372330057,0
"X101.1",13.0493218368739,3.50882174730811,7.87766030598233,0,0,3.93727037503503,2.47258262419177,1.90524534755895,13.8681263960753,10.0712296895517,9.09843372330057,0
"X102",9.11205146183889,0,3.9403899309473,0,0,0,0,0,9.93085602104029,6.13395931451668,5.16116334826554,0
"X141",10.5767392126822,1.03623912311634,5.40507768179056,0,0,1.46468775084326,0,0,11.3955437718836,7.59864706535994,6.6258510991088,0
"X161",11.144076489315,1.60357639974916,5.97241495842338,0,0,2.03202502747608,0.567337276632821,0,11.9628810485164,8.16598434199276,7.19318837574162,0
"X181",0,0,0,0,0,0,0,0,0,0,0,0
"X241",2.97809214732221,0,0,0,0,0,0,0,3.79689670652361,0,0,0
"X242",3.95088811357335,0,0,0,0,0,0,0,4.76969267277475,0.97279596625114,0,0
"X283",13.1915316779427,3.65103158837692,8.01987014705114,0.142209841068807,0.142209841068807,4.07948021610384,2.61479246526058,2.04745518862775,14.0103362371441,10.2134395306205,9.24064356436938,0
