"","7","8","35","59","77","97","97","98","98","117","118","138","139","140","147","157","159","179","216","219","221","228","278","291","298","36","78","79","37","137","158","176","259","277","293","10","57","80","116","136","281","58","96","96","178","284","296"
"X7",0,1.2404418808394,0,17.3861679056897,12.2866469911809,7.24916002480219,7.24916002480219,1.74004687025444,1.48544188083937,0,7.04232113642007,0,1.2404418808394,5.12267568286185,11.306088549954,9.34780823685747,0,1.23944188083923,10.696979534216,0,5.19867568286215,0,0.200499614791766,1.2404418808394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X8",0,0,0,16.1457260248503,11.0462051103415,6.00871814396278,6.00871814396278,0.499604989415038,0.244999999999971,0,5.80187925558066,0,0,3.88223380202244,10.0656466691146,8.10736635601807,0,0,9.45653765337656,0,3.95823380202275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X35",0,1.2404418808394,0,17.3861679056897,12.2866469911809,7.24916002480219,7.24916002480219,1.74004687025444,1.48544188083937,0,7.04232113642007,0,1.2404418808394,5.12267568286185,11.306088549954,9.34780823685747,0,1.23944188083923,10.696979534216,0,5.19867568286215,0,0.200499614791766,1.2404418808394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X59",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X77",0,0,0,5.09952091450884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X97",0,0,0,10.1370078808876,5.03748696637872,0,0,0,0,0,0,0,0,0,4.05692852515179,2.09864821205528,0,0,3.44781950941378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X97.1",0,0,0,10.1370078808876,5.03748696637872,0,0,0,0,0,0,0,0,0,4.05692852515179,2.09864821205528,0,0,3.44781950941378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X98",0,0,0,15.6461210354353,10.5466001209265,5.50911315454774,5.50911315454774,0,0,0,5.30227426616563,0,0,3.3826288126074,9.56604167969953,7.60776136660303,0,0,8.95693266396152,0,3.45862881260771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X98.1",0,0,0,15.9007260248504,10.8012051103415,5.76371814396281,5.76371814396281,0.254604989415067,0,0,5.55687925558069,0,0,3.63723380202247,9.8206466691146,7.86236635601809,0,0,9.21153765337659,0,3.71323380202278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X117",1.43552643107209,2.67596831191149,1.43552643107209,18.8216943367618,13.722173422253,8.68468645587427,8.68468645587427,3.17557330132653,2.92096831191146,0,8.47784756749216,0,2.67596831191149,6.55820211393393,12.7416149810261,10.7833346679296,0,2.67496831191131,12.1325059652881,0,6.63420211393424,0,1.63602604586385,2.67596831191149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X118",0,0,0,10.3438467692697,5.24432585476084,0.206838888382117,0.206838888382117,0,0,0,0,0,0,0,4.2637674135339,2.3054871004374,0,0,3.65465839779589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X138",1.43552643107209,2.67596831191149,1.43552643107209,18.8216943367618,13.722173422253,8.68468645587427,8.68468645587427,3.17557330132653,2.92096831191146,0,8.47784756749216,0,2.67596831191149,6.55820211393393,12.7416149810261,10.7833346679296,0,2.67496831191131,12.1325059652881,0,6.63420211393424,0,1.63602604586385,2.67596831191149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X139",0,0,0,16.1457260248503,11.0462051103415,6.00871814396278,6.00871814396278,0.499604989415038,0.244999999999971,0,5.80187925558066,0,0,3.88223380202244,10.0656466691146,8.10736635601807,0,0,9.45653765337656,0,3.95823380202275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X140",0,0,0,12.2634922228279,7.16397130831907,2.12648434194034,2.12648434194034,0,0,0,1.91964545355822,0,0,0,6.18341286709213,4.22513255399562,0,0,5.57430385135412,0,0.0760000000003056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X147",0,0,0,6.08007935573578,0.980558441226938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X157",0,0,0,8.03835966883228,2.93883875432344,0,0,0,0,0,0,0,0,0,1.9582803130965,0,0,0,1.34917129735849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X159",4.02157250872138,5.26201438956078,4.02157250872138,21.4077404144111,16.3082194999023,11.2707325335236,11.2707325335236,5.76161937897582,5.50701438956075,2.58604607764929,11.0638936451414,2.58604607764929,5.26201438956078,9.14424819158322,15.3276610586753,13.3693807455788,0,5.2610143895606,14.7185520429373,0,9.22024819158353,0,4.22207212351314,5.26201438956078,2.16804607764992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
