Site_Num,County,Year,Township,Range,Sections,Stream,Habitat,Pool_Riffle,Substrate,Lat,Long,Topeka_Shiner
199_3,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.782,-96.032,0
199_4,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.783,-96.032,0
199_5,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.784,-96.032,0
199_6,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.784,-96.032,0
199_7,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.786,-96.031,0
199_8,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.786,-96.030,0
199_9,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.787,-96.030,0
199_10,Nobles,2014,104,43,29,Champepadan_Creek,in_channel,in-channel/MCB,"sand, silt, gravel",43.787,-96.030,0
200_1,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.546,-95.811,0
200_2,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.545,-95.810,0
200_3,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.545,-95.810,0
200_4,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.547,-95.805,0
200_5,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.547,-95.805,0
200_6,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.547,-95.805,0
200_7,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.549,-95.804,0
200_8,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.549,-95.803,0
200_9,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.550,-95.803,0
200_10,Nobles,2014,101,41,18,Little_Rock_River,in_channel,,"gravel, sand, silt, muck",43.551,-95.802,0
83_1,Pipestone,2013,,,,South_Branch_Pipestone_Creek,in_channel,in-channel/MCB,"gravel, sand, silt",44.023,-96.368,0
84_1,Pipestone,2013,,,,North_Branch_Pipestone_Creek,in_channel,pool,"gravel, silt, sand",44.081,-96.308,0
85_1,Pipestone,2013,,,,North_Branch_Pipestone_Creek,in_channel,pool,"gravel, cobble, silt",44.095,-96.257,0
86_1,Pipestone,2013,,,,Split_Rock_Creek,off_channel,pool,"boulder, silt, gravel",43.892,-96.368,1
87_1,Pipestone,2013,,,,Poplar_Creek,in_channel,in-channel/MCB,"sand, gravel, silt",43.866,-96.205,1
88_1,Pipestone,2013,,,,Rock_River,in_channel,oxbow,"silt, sand",43.878,-96.150,0
91_1,Rock,2013,,,,Beaver_Creek,in_channel,pool,"gravel, silt, large cobble",43.689,-96.289,1
94_1,Rock,2013,,,,Elk_Creek,in_channel,in-channel/MCB,"silt, muck, sand",43.660,-96.093,1
95_1,Rock,2013,,,,Tributary_Champepadan,in_channel,pool,"gravel, silt",43.718,-96.086,1
96_4,Rock,2013,,,,Kanaranzi_Creek,in_channel,in-channel/MCB,"gravel, sand, silt ",43.512,-96.093,0
97_1,Nobles,2013,,,,Kanaranzi_Creek,in_channel,in-channel/MCB,"sand, silt, muck",43.703,-95.914,0
98_2,Nobles,2013,,,,East_Branch_Kanaranzi_Creek,off_channel,pool/off-channel,,43.659,-95.904,0
99_1,Nobles,2013,,,,West_Branch_Little_Rock_River,in_channel,pool,"silt, gravel, cobble",43.558,-95.863,1
101_1,Lincoln,2013,,,,Medary_Creek,in_channel,pool,"cobble, gravel, muck",44.248,-96.442,1
104_1,Pipestone,2013,,,,North_Branch_Pipestone_Creek,in_channel,pool,"gravel, sand, silt",44.071,-96.348,1
108_2,Pipestone,2013,,,,Split_Rock_Creek,in_channel,pool,"gravel, cobble, boulders",43.878,-96.380,1
109_1,Rock,2013,,,,Split_Rock_Creek,in_channel,pool,"gravel, sand, silt",43.834,-96.412,1
112_1,Rock,2013,,,,Split_Rock_Creek,in_channel,pool,"bedrock, silt",43.707,-96.288,1
113_1,Rock,2013,,,,Tributary_Rock_River,in_channel,pool,"sand, gravel, silt",43.740,-96.152,0
115_1,Rock,2013,,,,Elk_Creek,in_channel,pool,"sand, gravel, silt",43.603,-96.173,1
119_1,Nobles,2013,,,,West_Branch_Little_Rock_River,in_channel,pool,"gravel, sand, silt",43.572,-95.861,1
120_1,Nobles,2013,,,,West_Branch_Little_Rock_River,in_channel,pool,"silt, gravel",43.543,-95.848,1
123_1,Pipestone,2013,,,,Rock_River,in_channel,in-channel/MCB,"gravel, sand, silt",43.936,-96.136,0
127_3,Pipestone,2013,,,,Willow_creek,in_channel,in-channel/MCB,"muck, silt, sand",43.936,-96.136,1
135_1,Rock,2013,,,,Elk_Creek,off_channel,pool/off-channel,"sand, muck",43.603,-96.173,1
201_1,Pipestone,2015,108,45,6,Tributary_Flandreau_Creek,in_channel,main_channel,,44.184,-96.304,0
201_2,Pipestone,2015,108,45,6,Tributary_Flandreau_Creek,in_channel,main_channel,,44.185,-96.299,0
201_3,Pipestone,2015,108,45,6,Tributary_Flandreau_Creek,in_channel,crossing_pond,,44.187,-96.298,0
201_4,Pipestone,2015,108,45,6,Tributary_Flandreau_Creek,off_channel,stock_pond,,44.188,-96.297,0
202_1,Pipestone,2015,108,45,17,Tributary_Flandreau_Creek,in_channel,culvert_pool_,,44.154,-96.277,0
202_2,Pipestone,2015,108,45,17,Tributary_Flandreau_Creek,in_channel,main_channel,,44.155,-96.277,0
202_3,Pipestone,2015,108,45,17,Tributary_Flandreau_Creek,in_channel,channel_border_pool,,44.156,-96.277,1
202_4,Pipestone,2015,108,45,17,Tributary_Flandreau_Creek,off_channel,off_channel_dugout,,44.156,-96.277,1
203_1 ,Pipestone,2015,107,46,14,North_Branch_Pipestone_Creek,in_channel,glide_pool/run,,44.073,-96.339,0
203_2 ,Pipestone,2015,107,46,14,North_Branch_Pipestone_Creek,in_channel,channel_border_pool,,44.074,-96.337,0
203_3 ,Pipestone,2015,107,46,14,North_Branch_Pipestone_Creek,in_channel,channel_border_pool,,44.074,-96.336,0
203_4 ,Pipestone,2015,107,46,14,North_Branch_Pipestone_Creek,in_channel,channel_border_pool,,44.075,-96.334,0
203_5 ,Pipestone,2015,107,46,14,North_Branch_Pipestone_Creek,in_channel,glide_pool/run,,44.076,-96.334,0
204_1,Pipestone,2015,106,46,2_3,Pipstone_Creek,in_channel,glide_pool/run,,44.020,-96.348,0
204_2,Pipestone,2015,106,46,2_3,Pipstone_Creek,in_channel,culvert_pool_,,44.020,-96.348,0
204_3,Pipestone,2015,106,46,2_3,Pipstone_Creek,in_channel,pool,,44.020,-96.349,1
204_4,Pipestone,2015,106,46,2_3,Pipstone_Creek,in_channel,riffle,,44.020,-96.348,0
205_1,Pipestone,2015,107,44,29,Rock_River,off_channel,dugout,,44.046,-96.164,1
205_2,Pipestone,2015,107,44,29,Rock_River,in_channel,main_channel,,44.046,-96.164,0
205_3,Pipestone,2015,107,44,29,Rock_River,in_channel,channel_border_pool,,44.046,-96.162,1
206_1,Pipestone,2015,107,44,28,East_Branch_Rock_River,in_channel,main_channel,,44.043,-96.129,1
206_2,Pipestone,2015,107,44,28,East_Branch_Rock_River,in_channel,riffle,,44.043,-96.129,1
206_3,Pipestone,2015,107,44,28,East_Branch_Rock_River,in_channel,glide_pool/run,,44.042,-96.130,1
207_1,Pipestone,2015,105,46,9,Split_Rock_Creek,in_channel,main_channel,,43.909,-96.374,1
207_2,Pipestone,2015,105,46,9,Split_Rock_Creek,in_channel,bend_pool,,43.913,-96.369,0
207_3,Pipestone,2015,105,46,9,Split_Rock_Creek,in_channel,channel_border_pool,,43.913,-96.370,1
208_1,Pipestone,2015,104,47,12,Split_Rock_Creek,in_channel,channel_border_pool,,43.823,-96.416,1
208_2,Pipestone,2015,104,47,12,Split_Rock_Creek,in_channel,channel_border_pool,,43.826,-96.415,1
209_1 ,Rock,2015,104,46,6,Split_Rock_Creek,in_channel,channel_border_pool_,,43.846,-96.404,1
209_2 ,Rock,2015,104,46,7,Split_Rock_Creek,in_channel,channel_margin_,,43.845,-96.406,1
209_3 ,Rock,2015,104,46,8,Split_Rock_Creek,in_channel,riffle_,,43.845,-96.406,0
209_4 ,Rock,2015,104,46,9,Split_Rock_Creek,in_channel,pool,,43.845,-96.406,1
209_5 ,Rock,2015,104,46,10,Split_Rock_Creek,in_channel,bend_pool_,,43.845,-96.407,1
210_1,Pipestone,2015,105,46,35,Tributary_Split_Rock_Creek,in_channel,main_channel,,43.849,-96.339,0
210_2,Rock,2015,104,46,3,Tributary_Split_Rock_Creek,in_channel,culvert_pool_,,43.849,-96.339,0
210_3,Pipestone,2015,105,46,35,Tributary_Split_Rock_Creek,in_channel,pool,,43.852,-96.332,0
210_4,Pipestone,2015,105,46,35,Tributary_Split_Rock_Creek,in_channel,dugout,,43.854,-96.331,0
210_5,Pipestone,2015,105,46,35,Tributary_Split_Rock_Creek,in_channel,pool,,43.854,-96.331,0
